MKT,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,IND_SEC,CORP_IND,TRADES,HI_52_WK,LO_52_WK
N,EQ,NIRAJ,NIRAJ CEMENT STRUC LTD,        27.61,        28.78,        28.78,        27.50,        27.92,                   768054.42,27702,N, ,65,        51.98,        20.15
N,EQ,NIRLON,NIRLON LTD,       593.60,       596.30,       611.95,       594.20,       601.05,                   741426.30,1233,N, ,182,       657.00,       591.80
N,SM,NIRMAN,NIRMAN AGRI GENTICS LTD,        26.85,        26.85,        27.10,        26.50,        26.70,                   152430.00,5700,N, ,15,       231.00,        26.50
N,EQ,NITCO,NITCO LIMITED,        85.17,        85.60,        88.79,        85.11,        85.94,                 29702768.08,342602,N, ,2808,       123.59,        64.00
N,EQ,NITINSPIN,NITIN SPINNERS LIMITED,       628.00,       628.00,       635.00,       614.05,       616.85,                 39364199.25,63384,N, ,3305,       665.50,       302.20
N,EQ,NITIRAJ,NITIRAJ ENGINEERS LTD,       230.02,       226.00,       239.00,       223.22,       234.07,                  1548699.52,6661,N, ,93,       241.00,       168.00
N,EQ,NITTAGELA,NITTA GELATIN INDIA LTD.,      1756.90,      1756.90,      1794.80,      1735.60,      1766.10,                 17160533.10,9697,N, ,1090,      2087.20,       837.05
N,EQ,NIVABUPA,NIVA BUPA HEALTH INS CO L,        79.55,        80.55,        80.79,        79.29,        79.60,                 52236380.75,654127,N, ,8073,        91.40,        67.50
N,EQ,NKIND,NK INDUSTRIES LTD,        57.62,        57.90,        57.90,        55.70,        57.80,                    13721.00,243,N, ,28,        87.78,        49.66
N,EQ,NLCINDIA,NLC INDIA LIMITED,       255.35,       256.50,       262.90,       255.60,       262.30,                430525728.25,1656457,N, ,48089,       387.80,       230.00
N,EQ,NMDC,NMDC LTD.,        80.32,        80.41,        81.35,        80.40,        80.80,                355051941.72,4385275,N, ,34453,        97.49,        72.24
N,SM,NMSTEEL,NEWMALAYALAM STEEL LTD,        22.05,        22.50,        22.50,        22.50,        22.50,                    36000.00,1600,N, ,1,        37.00,        17.40
N,EQ,NOCIL,NOCIL LIMITED,       181.95,       180.90,       189.63,       180.18,       186.36,                375321494.07,2002880,N, ,17088,       204.50,       125.31
N,EQ,NOIDATOLL,NOIDA TOLL BRIDGE CO LTD,         3.96,         4.04,         4.10,         3.92,         3.96,                   594981.14,148592,N, ,247,         7.43,         2.87
N,EQ,NORBTEAEXP,NORBEN TEA & EXPORTS LTD,        64.56,        67.57,        67.68,        64.61,        64.73,                    75190.18,1131,N, ,37,        99.35,        47.50
N,EQ,NORTHARC,NORTHERN ARC CAPITAL LTD,       295.90,       293.05,       317.35,       293.05,       310.55,                731058328.20,2358970,N, ,44808,       334.00,       206.00
N,EQ,NOVAAGRI,NOVA AGRITECH LIMITED,        22.32,        22.30,        22.89,        22.11,        22.49,                   766135.92,34060,N, ,384,        51.99,        18.12
N,EQ,NOVARTIND,NOVARTIS INDIA LIMITED,      1995.50,      2032.00,      2195.00,      2013.00,      2082.20,                325539789.90,153168,N, ,10901,      2588.80,      1402.00
N,EQ,NPST,NETWORK PEOPLE SRV TECH L,      1834.60,      1855.00,      1920.00,      1823.40,      1854.90,                863116171.20,460726,N, ,39036,      2138.50,       846.60
N,EQ,NRAIL,N R AGARWAL INDS LTD,       621.40,       615.00,       641.00,       615.00,       628.50,                  7257972.70,11537,N, ,729,       685.00,       357.30
N,EQ,NRBBEARING,NRB BEARING LIMITED,       471.30,       475.00,       479.90,       465.95,       472.20,                 89908565.15,190344,N, ,7486,       519.00,       212.55
N,SM,NRVANDANA,N R VANDANA TEX IND LTD,        70.25,        68.05,        76.00,        66.25,        71.55,                 14885550.00,210000,N, ,43,        82.90,        42.00
N,EQ,NSIL,NALWA SONS INVESTMENT LTD,      5397.50,      5409.50,      5469.50,      5409.50,      5436.00,                  4711859.00,869,N, ,203,      6050.00,      4700.00
N,EQ,NSLNISP,NMDC STEEL LIMITED,        41.17,        41.00,        41.91,        41.00,        41.64,                120242794.86,2893595,N, ,15067,        53.75,        33.01
N,EQ,NTCIND,N T C INDUSTRIES LTD.,       136.70,       133.50,       137.95,       130.00,       132.03,                   173052.89,1311,N, ,64,       155.00,       126.30
N,EQ,NTPCGREEN,NTPC GREEN ENERGY LIMITED,        87.59,        87.00,        88.18,        87.00,        87.58,                 85070711.38,969560,N, ,16648,       119.95,        84.00
N,EQ,NUCLEUS,NUCLEUS SOFTWARE EXPORTS,       692.45,       688.00,       697.95,       685.80,       691.40,                 10221027.45,14834,N, ,1169,      1084.80,       682.00
N,EQ,NUVAMA,NUVAMA WEALTH MANAGE LTD,      1703.10,      1700.20,      1718.70,      1682.00,      1687.40,                289953453.90,171066,N, ,14352,      7640.00,      1096.90
N,EQ,NUVOCO,NUVOCO VISTAS CORP LTD,       316.20,       316.20,       320.90,       313.30,       319.00,                 62326770.10,196546,N, ,9824,       453.25,       276.25
N,RR,NXST,NEXUS SELECT TRUST,       166.46,       166.01,       167.98,       165.90,       166.25,                 59305060.26,356055,N, ,8431,       191.90,       147.22
N,IV,NXT-INFRA,NXT-INFRA TRUST,        96.00,        96.10,        96.10,        94.22,        95.50,                123078500.00,1300000,N, ,28,       100.05,        93.85
N,EQ,NYKAA,FSN E COMMERCE VENTURES,       325.60,       326.50,       327.85,       323.05,       323.75,               1694923486.40,5216273,N, ,27133,       349.55,       227.90
N,EQ,OAL,ORIENTAL AROMATICS LTD,       508.85,       508.85,       519.00,       506.50,       513.50,                  5244948.60,10254,N, ,681,       559.80,       228.00
N,EQ,OBCL,OBCL LIMITED,        56.98,        59.18,        60.20,        55.10,        55.82,                  1565112.71,27171,N, ,265,        62.00,        46.51
N,EQ,OBEROIRLTY,OBEROI REALTY LIMITED,      1706.90,      1705.10,      1741.90,      1695.80,      1740.70,                709533342.50,413371,N, ,23432,      1986.10,      1391.20
N,SM,OBSCP,OBSC PERFECTION LIMITED,       885.20,       881.00,       912.55,       870.00,       899.25,                 32095260.00,36000,N, ,88,      1030.00,       269.95
N,EQ,ODIGMA,ODIGMA CONSULTANCY SOL L,        21.42,        21.85,        21.98,        20.95,        21.00,                   878562.80,41688,N, ,674,        56.09,        20.00
N,EQ,ODYCORP,ODYSSEY CORPORATION LTD.,         7.11,         7.25,         7.25,         6.56,         6.86,                   265150.35,37929,N, ,167,         8.48,         5.71
N,EQ,OFSS,ORACLE FIN SERV SOFT LTD.,     11510.00,     11500.00,     11666.00,     11356.00,     11620.00,               1525718696.00,132173,N, ,25583,     12540.00,      6234.50
N,EQ,OIL,OIL INDIA LTD,       487.60,       485.00,       491.00,       474.25,       477.40,                817210583.65,1708044,N, ,21208,       531.00,       393.00
N,EQ,OLAELEC,OLA ELECTRIC MOBILITY LTD,        37.24,        37.43,        37.62,        36.51,        36.79,               1600797254.25,43408200,N, ,126223,        61.02,        22.25
N,EQ,OLECTRA,OLECTRA GREENTECH LIMITED,      1168.00,      1170.00,      1191.40,      1164.60,      1186.20,                186574226.40,158165,N, ,12268,      1714.20,       866.60
N,SM,OLIL,ONECLICK LOGISTICS IND L,       430.80,       435.10,       440.00,       425.00,       432.35,                 13873880.00,32400,N, ,43,       479.90,       246.00
N,EQ,OMAXAUTO,OMAX AUTOS LTD,       167.10,       166.27,       183.00,       166.00,       175.79,                 12522083.51,71166,N, ,2165,       263.40,        84.50
N,EQ,OMAXE,OMAXE LIMITED,       115.07,       116.18,       122.37,       114.51,       120.76,                 90136513.69,755723,N, ,9238,       138.89,        62.50
N,EQ,OMINFRAL,OM INFRA LIMITED,        80.42,        79.65,        80.99,        78.50,        79.44,                  3579610.37,44975,N, ,1195,       144.00,        71.50
N,EQ,OMNI,OMNITECH ENGINEERING LTD,       539.50,       539.90,       574.50,       526.60,       568.65,                307023920.80,550904,N, ,15475,       764.85,       176.25
N,EQ,OMPOWER,OM POWER TRANSMISSION LTD,       164.82,       165.92,       170.00,       164.02,       166.70,                 22750016.53,136884,N, ,1629,       206.00,       158.01
N,SM,ONDOOR,ON DOOR CONCEPTS LIMITED,       280.45,       271.05,       276.90,       266.00,       267.20,                  7295475.00,27000,N, ,49,       340.00,       100.00
N,EQ,ONEGLOBAL,ONE GLOBAL SERVICE PROV L,       524.75,       522.15,       541.15,       520.00,       530.45,                  2860945.80,5391,N, ,441,       580.00,       494.00
N,EQ,ONEPOINT,ONE POINT ONE SOL LTD,        56.28,        57.00,        60.25,        56.32,        59.14,                158761714.03,2680184,N, ,12054,        65.85,        40.58
N,EQ,ONESOURCE,ONESOURCE SPECL PHARMA L,      1596.60,      1600.20,      1621.80,      1569.60,      1580.00,                193147729.20,121361,N, ,16119,      1925.00,      1057.00
N,EQ,ONIDA,ONIDA ELECTRONICS LIMITED,        33.05,        33.00,        34.70,        31.77,        32.29,                 86577665.17,2565482,N, ,3525,        49.23,        21.50
N,EQ,ONIXSOLAR,ONIX SOLAR ENERGY LTD.,       395.95,       376.20,       376.20,       376.20,       376.20,                  2840310.00,7550,N, ,83,       464.20,       262.45
N,EQ,ONWARDTEC,ONWARD TECHNOLOGIES LTD,       278.60,       282.00,       303.00,       276.05,       291.75,                 21214556.15,72827,N, ,1691,       355.00,       208.25
N,EQ,OPTIEMUS,OPTIEMUS INFRACOM LTD,       592.85,       588.90,       614.40,       588.85,       610.00,                216712048.80,356119,N, ,15747,       713.00,       288.00
N,EQ,OPTIFIN,OPTIMUS FINANCE LTD.,        13.29,        13.02,        15.90,        12.80,        15.13,                   946803.94,65480,N, ,475,        16.00,        11.25
N,SM,OPTIMYSTIX,OPTIMYSTIX ENT INDIA LTD,       144.20,       142.00,       142.00,       139.00,       139.00,                  2912960.00,20800,N, ,21,       195.00,       130.00
N,EQ,ORCHASP,ORCHASP LIMITED,         1.60,         1.60,         1.67,         1.35,         1.37,                  1916332.26,1339545,N, ,760,         4.16,         1.25
N,EQ,ORCHPHARMA,ORCHID PHARMA LIMITED,       957.50,       961.00,      1001.20,       952.95,       958.05,                134940791.80,138643,N, ,8367,      1133.00,       480.00
N,SM,ORIANA,ORIANA POWER LIMITED,      1250.75,      1257.00,      1362.95,      1253.00,      1348.85,                137337180.00,103200,N, ,1053,      3064.00,      1174.95
N,EQ,ORICONENT,ORICON ENTERPRISES LTD,        51.38,        51.05,        52.21,        51.05,        51.26,                   630048.00,12236,N, ,157,        73.12,        48.81
N,EQ,ORIENTALTL,ORIENTAL TRIMEX LTD,         5.00,         4.91,         5.07,         4.90,         4.98,                   207752.86,41875,N, ,251,        11.99,         4.40
N,EQ,ORIENTBELL,ORIENT BELL LIMITED,       384.20,       380.00,       392.10,       380.00,       387.25,                  6070357.35,15649,N, ,849,       434.95,       246.55
N,EQ,ORIENTCEM,ORIENT CEMENT LTD.,       121.64,       121.10,       123.00,       120.77,       122.09,                 91899402.91,753064,N, ,3942,       237.29,       120.60
N,EQ,ORIENTCER,ORIENT CERATECH LIMITED,        44.82,        45.44,        46.70,        44.50,        46.11,                  2829246.54,62071,N,XD,848,        56.64,        34.00
N,EQ,ORIENTELEC,ORIENT ELECTRIC LIMITED,       168.40,       170.00,       170.00,       167.31,       168.83,                  9069619.38,53644,N, ,1737,       217.51,       149.05
N,EQ,ORIENTHOT,ORIENT HOTELS LTD,       138.59,       138.50,       141.65,       136.48,       141.01,                 69877666.25,497650,N, ,2772,       148.80,        80.00
N,EQ,ORIENTPPR,ORIENT PAPER AND INDS LTD,        16.79,        16.80,        17.71,        16.80,        17.25,                  4931121.93,285003,N, ,1005,        28.96,        13.25
N,EQ,ORIENTTECH,ORIENT TECHNOLOGIES LTD,       233.32,       234.95,       242.52,       234.95,       236.47,                 42111861.78,177246,N, ,4578,       513.40,       220.80
N,EQ,ORIRAIL,ORIENTAL RAIL INFRA L,       119.85,       119.80,       121.35,       117.13,       117.94,                  5188561.48,43602,N, ,1050,       142.00,       102.80
N,EQ,ORISSAMINE,ORISSA MIN DEV CO LTD,      3829.40,      3849.60,      3928.90,      3800.00,      3896.40,                 22582832.70,5835,N, ,1485,      6138.90,      3100.50
N,EQ,ORKLAINDIA,ORKLA INDIA LIMITED,       579.80,       580.00,       583.00,       576.00,       578.25,                 22547994.00,38840,N, ,3778,       760.00,       533.25
N,EQ,ORTINGLOBE,ORTIN GLOBAL LIMITED,        17.25,        17.33,        17.33,        16.40,        16.45,                    67416.62,4055,N, ,25,        21.30,        10.66
N,SM,OSELDEVICE,OSEL DEVICES LIMITED,       363.35,       357.50,       371.00,       357.50,       368.50,                  6407680.00,17400,N, ,74,       835.00,       350.55
N,EQ,OSWALAGRO,OSWAL AGRO MILLS LTD,        33.43,        33.00,        34.48,        32.70,        33.91,                   975744.63,28868,N, ,466,        81.00,        32.36
N,EQ,OSWALGREEN,OSWAL GREENTECH LIMITED,        19.29,        18.70,        19.50,        18.63,        19.04,                  2537201.44,132784,N, ,1407,        43.79,        18.55
N,EQ,OSWALPUMPS,OSWAL PUMPS LIMITED,       269.85,       269.85,       278.20,       269.45,       273.30,                 84765290.60,309066,N, ,7034,       840.00,       266.45
